code,text,type,multiple_choices,extra_quick_replies,rules
B1,"Dos boys cis, travestis ou mulheres trans com quem você transou nos últimos 6 meses, teve algum que é/foi namorade ou crush fixo??",multiple_choice,"{
  ""1"": ""Sim, mais de 1"",
  ""2"": ""Sim, apenas 1"",
  ""3"": ""Não""
}",,"{
    ""logic_jumps"" : [
        {
            ""code""   : ""B2"",
            ""values"" : [1, 2]
        }
    ],
    ""qualification_conditions"" : []
}"
B2,Vc sabe o resultado do teste de HIV do seu parceiro fixo?,multiple_choice,"{
  ""1"": ""Sim, é positivo"",
  ""2"": ""Sim, é negativo"",
  ""3"": ""Ele nunca se testou"",
  ""4"": ""Não sei""
}",,
B3,"Nos últimos 6 meses, quantos crushs casuais (boy cis ou mulher trans/travesti) você teve?",open_text,,,"{
""logic_jumps"" : [
    {
        ""code""   : ""B4"",
        ""values"" : {
            ""operator"" : "">"",
            ""value""    : ""0""
        }
    }
],
""qualification_conditions"" : []
}"
B4,E rolou penetração no edí?,multiple_choice,"{
  ""1"": ""Sim"",
  ""2"": ""Não""
}",,"{
    ""logic_jumps"" : [
        {
            ""code""   : ""B5"",
            ""values"" : [""1""]
        }
    ],
    ""qualification_conditions"" : []
}"
B5,"Nessas vezes, rolou sexo pelo edí sem camisinha ou camisinha estourou/saiu?",multiple_choice,"{
  ""1"": ""Sim"",
  ""2"": ""Não""
}",,"{
    ""logic_jumps"" : [],
    ""qualification_conditions"" : []
}"
B6,"Nos últimos 12 meses, vc recebeu dinheiro, favores ou presentes em troca de sexo?",multiple_choice,"{
  ""1"": ""Sim"",
  ""2"": ""Não""
}",,
B7,"Nos últimos 12 meses, vc fez sexo anal sob efeito de álcool ou outras drogas?",multiple_choice,"{
  ""1"": ""Uma vez"",
  ""2"": ""De 2 a 4 vezes"",
  ""3"": ""5 vezes ou mais"",
  ""4"": ""Nenhuma vez""
}",,
B8,"Nos últimos 12 meses, você teve algum corrimento, ferida, verruga, bolhas ou alguma Infecção Sexualmente Transmissível (IST)?",multiple_choice,"{
  ""1"": ""Sim"",
  ""2"": ""Não""
}",,
B9,"Nos últimos 12 meses, vc tomou PEP?",multiple_choice,"{
  ""1"": ""Sim"",
  ""2"": ""Não""
}",,
B10,Vc sabe ou já ouviu falar da profilaxia pré-exposição ou PrEP?,multiple_choice,"{
  ""1"": ""Sim"",
  ""2"": ""Não""
}",,"{
    ""logic_jumps"" : [],
    ""qualification_conditions"" : [],
    ""flags"" : [ ""is_eligible_for_research"" ]
}"
